id,fecha,ubicacion,aerolinea,ruta,tipo,total_abordo,fallecidos,fallecidos_en_tierra,anio
2409,1969-05-25,"Reggio di Calabria, Italy",Aero Transporti Italiani,Rome - Reggio di Calabria,Fokker F-27 Friendship 600,36,1,0,1969
2410,1969-06-04,"Near Salinas Victoria, Nuevo Leon, Mexico",Compania Mexicana de Aviacion,Mexico City - Monterey,Boeing B-727-64,79,79,0,1969
2411,1969-06-05,"Off Andreanof Islands, Alaska",Military - U.S. Air Force,"Shemya, AK - Eielson, AK",Boeing RC-135E,19,19,0,1969
2412,1969-06-23,"Near Poroslitsy, Russia",Aeroflot,Moscow - Chernihiv,Ilyushin IL-14M / Antonov An-12BP,120,120,0,1969
2413,1969-06-28,"Near Talas, Kyrgyzstan",Aeroflot,"Talas, Kyrgyzstan - Frunze, Russia",Ilyushin IL-14,40,40,0,1969
2414,1969-07-06,"Near Monroe, Georgia",Air South,"Atlanta, GA - Sumpter, SC - Greer, SC",Beechcraft B-99,14,14,0,1969
2415,1969-07-12,"Hitauda, Nepal",Royal Nepal Airlines,Katmandu - Simra,Douglas DC-3,35,35,0,1969
2416,1969-07-15,"New York City, New York",New York Airways,New York - Newark,de Havilland Canada DHC-6 Twin Otter 200,14,3,0,1969
2417,1969-07-25,"Kekaha, Hawaii",Trans Isle Air,Kalaupapa - Lihue,De Havilland DH-104 Dove,13,1,0,1969
2418,1969-07-26,"Biskra, Algeria",Air Algerie,Marseille- Algiers - Hassi Messaoud,Sud Aviation SE-210 Caravelle 6N,37,33,0,1969
2419,1969-07-26,"Atlantic City, New Jersey",Trans World Airlines,Training,Boeing 707-331C,5,5,0,1969
2420,1969-08-03,"Preobrazhenka, Ukraine",Aeroflot,Dnepropetrovsk - 	Vinnitsa,Antonov An-24B,55,55,0,1969
2421,1969-08-03,"Uli , Nigeria",Canairelief Air,sin informacion,Lockheed L-1049H Super Constellation,4,4,0,1969
2422,1969-08-19,"Near Long Tieng, Laos",Air America,"Long Tieng, Laos - Sam Thong, Laos",Pilatus Pc-6C,13,13,0,1969
2423,1969-08-25,"Sucre, Ecuador",TAO,sin informacion,Douglas C-47B,1,1,0,1969
2424,1969-08-26,"Moscow, Russia",Aeroflot,Noril'sk - Moscow,Ilyushin IL-18,102,16,0,1969
2425,1969-08-26,"Khovu-Aksy, Russia",Aeroflot,Kyzyl - Khovu-Aksy,Antonov AN-2,14,14,0,1969
2426,1969-08-31,"Newton, Iowa",Private Charter,Chicago - Des Moines.,Cessna 172H,3,3,0,1969
2427,1969-09-01,"Cross Bay, Russia",Aeroflot,Anadyr - Cross Bay,Ilyushin IL-14P,27,22,0,1969
2428,1969-09-02,"Near Pakse, Laos",Military - Royal Lao Air Force,Savannakhet - Pakse,Douglas C-47,35,35,0,1969
2429,1969-09-06,"Quito, Ecuador",TAME Ecuador,sin informacion,Douglas DC-3,16,1,0,1969
2430,1969-09-08,"Near Medina, Colombia",SATENA,Bogota - Villavicencio,Douglas DC-3,32,32,0,1969
2431,1969-09-09,"Near Fairland, Indiana",Allegheny Airlines / Forth Corporation,Indianapolis - Bakalar AFB,MD Douglas DC-9-31/Piper Cherokee PA-28,83,83,0,1969
